field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
302,1476,2.09141090569580634e-01,2.09141090560046650e-01,-9.53398471281730053e-12
303,1477,2.06509591158059919e-01,2.06509591148950622e-01,-9.10929665032256253e-12
304,1478,2.03872056489135395e-01,2.03872056484694419e-01,-4.44097536522747305e-12
305,1479,2.01241413314836720e-01,2.01241413308985900e-01,-5.85081982862334371e-12
306,1480,1.98604333025131974e-01,1.98604333036982578e-01,1.18506038315757678e-11
307,1481,1.95968025533456491e-01,1.95968025544837998e-01,1.13815068480960235e-11
308,1482,1.93338800399293714e-01,1.93338800417036188e-01,1.77424741565346267e-11
309,1483,1.90693388410363651e-01,1.90693388431836253e-01,2.14726014746702276e-11
310,1484,1.88079711902990054e-01,1.88079711924643178e-01,2.16531237384742781e-11
311,1485,1.85433571404616276e-01,1.85433571418063575e-01,1.34472988300160523e-11
312,1486,1.82807072861986830e-01,1.82807072868104575e-01,6.11774519931884697e-12
313,1487,1.80165053746360215e-01,1.80165053751867393e-01,5.50717804692624213e-12
314,1488,1.77539176227888729e-01,1.77539176225154388e-01,-2.73434053177368241e-12
315,1489,1.72249079232716568e-01,1.72249079208502576e-01,-2.42139919226502798e-11
316,1490,1.69569339095251459e-01,1.69569339069145647e-01,-2.61058119566115465e-11
317,1491,1.66919083055284079e-01,1.66919083026540988e-01,-2.87430912404573746e-11
318,1492,1.64252502353823215e-01,1.64252502328421618e-01,-2.54015974920918097e-11
319,1493,1.61600978326920747e-01,1.61600978310264876e-01,-1.66558711267583703e-11
320,1494,1.58949687014083768e-01,1.58949687001351508e-01,-1.27322596910062202e-11
321,1495,1.56289382398199950e-01,1.56289382387594322e-01,-1.06056274873367329e-11
322,1496,1.53626566006456355e-01,1.53626565998013109e-01,-8.44324610227431549e-12
323,1497,1.50971759152346258e-01,1.50971759155160146e-01,2.81388801148807488e-12
324,1498,1.48301267549213661e-01,1.48301267566766010e-01,1.75523484635675686e-11
325,1499,1.45633101958966726e-01,1.45633101987251018e-01,2.82842915755310287e-11
326,1500,1.42986957125830677e-01,1.42986957156476691e-01,3.06460135046648929e-11
327,1501,1.40330565583055594e-01,1.40330565619906533e-01,3.68509389669924303e-11
328,1502,1.37658345157885276e-01,1.37658345192450654e-01,3.45653783373478518e-11
