node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
165,-8.75000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00004041867931107e+02,3.00004041867931221e+02,1.13686837721616030e-13
166,-7.49999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00004276646250389e+02,3.00004276646250389e+02,0.00000000000000000e+00
167,-6.24999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00004908594084611e+02,3.00004908594085123e+02,5.11590769747272134e-13
168,-5.00000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00005290259379024e+02,3.00005290259379137e+02,1.13686837721616030e-13
169,-3.74999999999999956e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00006664911319774e+02,3.00006664911320115e+02,3.41060513164848089e-13
170,-2.50000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00007373049459716e+02,3.00007373049460227e+02,5.11590769747272134e-13
171,-1.25000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00007587294066354e+02,3.00007587294066809e+02,4.54747350886464119e-13
172,0.00000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00007749322233508e+02,3.00007749322233963e+02,4.54747350886464119e-13
173,1.25000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00007700728798227e+02,3.00007700728798852e+02,6.25277607468888164e-13
174,2.50000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00006839727147849e+02,3.00006839727147678e+02,-1.70530256582424045e-13
175,3.74999999999999956e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00006697039618473e+02,3.00006697039618757e+02,2.84217094304040074e-13
176,5.00000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00005525282112899e+02,3.00005525282113240e+02,3.41060513164848089e-13
177,6.24999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00004934951823031e+02,3.00004934951823429e+02,3.97903932025656104e-13
178,7.49999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00004236580083614e+02,3.00004236580083898e+02,2.84217094304040074e-13
179,8.75000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00003914398598454e+02,3.00003914398598738e+02,2.84217094304040074e-13
180,4.74181288299147763e+00,2.78766179254330115e-01,2.19999999999999973e-01,3.06858990767852220e+02,3.06858990768018600e+02,1.66380687005585060e-10
